Pathway Id	Description	pvalue		
PID_PS1_PATHWAY%MSIGDB_C2%PID_PS1_PATHWAY	NA	0.0381017733229
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 59%5419276	NA	0.0185458515452
REGULATION OF REGULATED SECRETORY PATHWAY%GOBP%GO:1903305	NA	0.0174817759113
MIDBRAIN DEVELOPMENT%GOBP%GO:0030901	NA	0.00156305866953
RESPONSE TO IONIZING RADIATION%GOBP%GO:0010212	NA	0.047621396487
POSITIVE REGULATION OF DEVELOPMENTAL GROWTH%GOBP%GO:0048639	NA	5.22332609826E-4
POSITIVE REGULATION OF MESENCHYMAL CELL PROLIFERATION%GOBP%GO:0002053	NA	0.00485784457468
WNT%IOB%WNT	NA	3.746532423E-4
PID_CERAMIDE_PATHWAY%MSIGDB_C2%PID_CERAMIDE_PATHWAY	NA	0.0223450161412
INTRA-S DNA DAMAGE CHECKPOINT%GOBP%GO:0031573	NA	8.74304429986E-4
REGULATION OF CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0060828	NA	1.96036480433E-4
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	NA	2.58934114273E-4
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	NA	0.0236477271587
PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0046777	NA	0.00187581655197
REGULATION OF CARDIAC MUSCLE TISSUE GROWTH%GOBP%GO:0055021	NA	1.00842494808E-4
IN UTERO EMBRYONIC DEVELOPMENT%GOBP%GO:0001701	NA	0.0
APPENDAGE DEVELOPMENT%GOBP%GO:0048736	NA	0.0
TRANSITION METAL ION HOMEOSTASIS%GOBP%GO:0055076	NA	0.0218830709835
CELL-CELL SIGNALING BY WNT%GOBP%GO:0198738	NA	0.0259945619049
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	NA	0.0
ST_GA13_PATHWAY%MSIGDB_C2%ST_GA13_PATHWAY	NA	0.0246837780482
NEGATIVE REGULATION OF DNA REPLICATION%GOBP%GO:0008156	NA	0.0353413214093
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0045737	NA	2.01496850633E-4
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	NA	0.00547837814186
BIOCARTA_EGF_PATHWAY%MSIGDB_C2%BIOCARTA_EGF_PATHWAY	NA	0.0488840978894
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	NA	0.00661028326892
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	NA	0.0
MEIOTIC CELL CYCLE%GOBP%GO:0051321	NA	0.00396390269439
REGULATION OF HEART GROWTH%GOBP%GO:0060420	NA	4.23870925979E-5
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	NA	4.38321071183E-5
STRAND DISPLACEMENT%GOBP%GO:0000732	NA	0.0465531801032
CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048738	NA	0.0010128551489
INTERLEUKIN SIGNALING PATHWAY%PANTHER PATHWAY%P00036	NA	0.0368700137521
BIOCARTA_BCR_PATHWAY%MSIGDB_C2%BIOCARTA_BCR_PATHWAY	NA	0.0205503682417
MAMMARY GLAND DEVELOPMENT%GOBP%GO:0030879	NA	1.22983999103E-4
PID_CMYB_PATHWAY%MSIGDB_C2%PID_CMYB_PATHWAY	NA	0.00888290301962
LKB1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LKB1 SIGNALING EVENTS	NA	0.030814484268
REPRODUCTIVE STRUCTURE DEVELOPMENT%GOBP%GO:0048608	NA	0.0
ACTIVATED POINT MUTANTS OF FGFR2%REACTOME%R-HSA-2033519.1	NA	4.48514584466E-5
ATF-2 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATF-2 TRANSCRIPTION FACTOR NETWORK	NA	0.0319474790205
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	NA	0.00515346308671
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	NA	0.0145732495864
INOSITOL LIPID-MEDIATED SIGNALING%GOBP%GO:0048017	NA	4.19263633305E-5
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.1	NA	0.0433243559894
REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:2000045	NA	0.00405760077324
POSITIVE REGULATION OF CELL DIVISION%GOBP%GO:0051781	NA	0.0
MITOCHONDRIAL PROTEIN IMPORT%REACTOME%R-HSA-1268020.1	NA	0.0352956050452
VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281	NA	0.0
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	NA	0.0175466138736
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE%GOBP%GO:0048754	NA	0.0
OSSIFICATION%GOBP%GO:0001503	NA	0.0013051341768
PATTERN SPECIFICATION PROCESS%GOBP%GO:0007389	NA	8.78953439916E-4
CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055008	NA	3.06129002096E-5
PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY	NA	0.0019501442746
EMBRYONIC ORGAN MORPHOGENESIS%GOBP%GO:0048562	NA	3.27907306943E-4
OUTFLOW TRACT MORPHOGENESIS%GOBP%GO:0003151	NA	1.56797781561E-5
POSITIVE REGULATION OF LIPASE ACTIVITY%GOBP%GO:0060193	NA	0.0
REGULATION OF CELL CYCLE ARREST%GOBP%GO:0071156	NA	0.016321176743
RESPONSE TO BMP%GOBP%GO:0071772	NA	0.0383694919582
CARDIAC VENTRICLE DEVELOPMENT%GOBP%GO:0003231	NA	1.80807441863E-4
CYCLIN A:CDK2-ASSOCIATED EVENTS AT S PHASE ENTRY%REACTOME DATABASE ID RELEASE 59%69656	NA	0.0136900475813
POSITIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN KINASE ACTIVITY%GOBP%GO:1904031	NA	1.13782460956E-4
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 59%69580	NA	0.0152831071916
REGULATION OF REPRODUCTIVE PROCESS%GOBP%GO:2000241	NA	0.0
PID_FGF_PATHWAY%MSIGDB_C2%PID_FGF_PATHWAY	NA	3.02527484424E-5
TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 59%381340	NA	0.0
MUSCLE ORGAN MORPHOGENESIS%GOBP%GO:0048644	NA	7.95304211631E-5
RESOLUTION OF D-LOOP STRUCTURES THROUGH HOLLIDAY JUNCTION INTERMEDIATES%REACTOME DATABASE ID RELEASE 59%5693568	NA	0.0135757862873
RESOLUTION OF D-LOOP STRUCTURES THROUGH SYNTHESIS-DEPENDENT STRAND ANNEALING (SDSA)%REACTOME DATABASE ID RELEASE 59%5693554	NA	0.0465531801032
PPARA ACTIVATES GENE EXPRESSION%REACTOME DATABASE ID RELEASE 59%1989781	NA	0.0102097423632
FAS (CD95) SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FAS (CD95) SIGNALING PATHWAY	NA	0.0427663852982
RENAL SYSTEM DEVELOPMENT%GOBP%GO:0072001	NA	0.0
FGFR2 MUTANT RECEPTOR ACTIVATION%REACTOME%R-HSA-1839126.2	NA	0.0
STEM CELL PROLIFERATION%GOBP%GO:0072089	NA	0.0
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	NA	0.0165575950921
SIGNALING BY FGFR IN DISEASE%REACTOME%R-HSA-1226099.4	NA	0.0
CELLULAR IRON ION HOMEOSTASIS%GOBP%GO:0006879	NA	0.045833506307
CHORDATE EMBRYONIC DEVELOPMENT%GOBP%GO:0043009	NA	0.018166006302
REPRODUCTIVE SYSTEM DEVELOPMENT%GOBP%GO:0061458	NA	0.0
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	NA	1.63441755356E-4
FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021	NA	2.46205878281E-4
BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY	NA	0.00321139198328
PLACENTA DEVELOPMENT%GOBP%GO:0001890	NA	1.64838693436E-4
FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	NA	0.0
REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS%GOBP%GO:0017158	NA	0.0210859551358
NEGATIVE REGULATION OF CELL DIVISION%GOBP%GO:0051782	NA	0.0320032135182
PID_MYC_REPRESS_PATHWAY%MSIGDB_C2%PID_MYC_REPRESS_PATHWAY	NA	0.00298220669542
PID_P38_GAMMA_DELTA_PATHWAY%MSIGDB_C2%PID_P38_GAMMA_DELTA_PATHWAY	NA	0.017206121612
CELL DIVISION%GOBP%GO:0051301	NA	0.0019162498112
MESENCHYMAL CELL DIFFERENTIATION%GOBP%GO:0048762	NA	0.0111228355023
PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY	NA	0.0454430425127
BIOCARTA_CELLCYCLE_PATHWAY%MSIGDB_C2%BIOCARTA_CELLCYCLE_PATHWAY	NA	0.00570768520614
SHC-MEDIATED CASCADE:FGFR2%REACTOME DATABASE ID RELEASE 59%5654699	NA	0.0307984698771
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 59%877300	NA	0.00549730552898
PID_ATF2_PATHWAY%MSIGDB_C2%PID_ATF2_PATHWAY	NA	0.0319474790205
