Pathway Id	Description	pvalue		
REPLICATIVE SENESCENCE%GOBP%GO:0090399	NA	1.0
POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0051000	NA	0.8298868356378668
ESTABLISHMENT OF PROTEIN LOCALIZATION TO CHROMOSOME%GOBP%GO:0070199	NA	0.7557334953410814
NEGATIVE REGULATION OF GENE SILENCING%GOBP%GO:0060969	NA	0.7475363855389677
BIOCARTA_TEL_PATHWAY%MSIGDB_C2%BIOCARTA_TEL_PATHWAY	NA	0.7136841021971863
REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060966	NA	0.6953746795111752
REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060147	NA	0.6953746795111752
NEGATIVE REGULATION OF CELL AGING%GOBP%GO:0090344	NA	0.6885570451278424
RNA INTERFERENCE%GOBP%GO:0016246	NA	0.6862613596661314
PROTEIN LOCALIZATION TO CHROMOSOME, TELOMERIC REGION%GOBP%GO:0070198	NA	0.6746682502759063
POSITIVE REGULATION OF MONOOXYGENASE ACTIVITY%GOBP%GO:0032770	NA	0.6701712519216091
TELOMERE MAINTENANCE VIA TELOMERASE%GOBP%GO:0007004	NA	0.6683505677907753
PHOSPHATIDYLINOSITOL-3-PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0036092	NA	0.6609104925118171
REGULATION OF PRI-MIRNA TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:1902893	NA	0.6502597699805737
ADENYLATE CYCLASE ACTIVATING PATHWAY%REACTOME DATABASE ID RELEASE 55%170660	NA	0.6218165088130083
CAMP METABOLIC PROCESS%GOBP%GO:0046058	NA	0.5739764275037156
TRNA THREONYLCARBAMOYLADENOSINE METABOLIC PROCESS%GOBP%GO:0070525	NA	0.5731318352117301
REGULATION OF CELLULAR SENESCENCE%GOBP%GO:2000772	NA	0.5606439915251676
RNA-DEPENDENT DNA REPLICATION%GOBP%GO:0006278	NA	0.5572585527263176
CELLULAR RESPONSE TO ESTRADIOL STIMULUS%GOBP%GO:0071392	NA	0.5457316626016091
NEURONAL STEM CELL POPULATION MAINTENANCE%GOBP%GO:0097150	NA	0.5339878533395123
BIOCARTA_ACH_PATHWAY%MSIGDB_C2%BIOCARTA_ACH_PATHWAY	NA	0.5290652414701655
INTRACELLULAR ESTROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030520	NA	0.5118615980418677
SA_CASPASE_CASCADE%MSIGDB_C2%SA_CASPASE_CASCADE	NA	0.5043832310896361
LPA4-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LPA4-MEDIATED SIGNALING EVENTS	NA	0.5016605965372467
ADENYLATE CYCLASE INHIBITORY PATHWAY%REACTOME%R-HSA-170670.1	NA	0.4986897551026457
INHIBITION OF ADENYLATE CYCLASE PATHWAY%REACTOME DATABASE ID RELEASE 55%997269	NA	0.4986897551026457
RORA ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-1368082.1	NA	0.4943435581765461
PROTEIN K63-LINKED DEUBIQUITINATION%GOBP%GO:0070536	NA	0.4874780966384517
POSITIVE REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0043517	NA	0.48607667070052085
REGULATION OF CELLULAR EXTRAVASATION%GOBP%GO:0002691	NA	0.4848765787014908
ADHERENS JUNCTIONS INTERACTIONS%REACTOME%R-HSA-418990.2	NA	0.48280099123022585
HETEROCHROMATIN ORGANIZATION%GOBP%GO:0070828	NA	0.4798688574604884
MITOCHONDRIAL RNA PROCESSING%GOBP%GO:0000963	NA	0.4792347764820125
